,Order ID,Category,Sub Category,Order Date,Sales,Discount,Profit
74,OD3991,Snacks,Cookies,03-02-2022,2911,0.24,923.97
75,OD8312,Snacks,Chocolates,03-02-2022,2330,0.31,149.472
76,OD6500,Food Grains,Atta & Flour,03-02-2022,765,0.21,198.9
77,OD7777,Bakery,Breads & Buns,03-02-2022,1323,0.23,487.24416
78,OD7254,Oil & Masala,Edible Oil & Ghee,03-02-2022,1579,0.18,78.95
79,OD5959,Beverages,Soft Drinks,03-02-2022,2825,0.13,384.12
80,OD8347,Food Grains,Atta & Flour,03-02-2022,1907,0.2,362.33
81,OD7172,Oil & Masala,Edible Oil & Ghee,03-02-2022,1158,0.17,57.9
82,OD7113,Beverages,Health Drinks,03-02-2022,1900,0.22,725.0
83,OD7047,Fruits & Veggies,Organic Fruits,03-02-2022,2017,0.3,121.02
84,OD7264,"Eggs, Meat & Fish",Chicken,03-02-2022,50,0.26,21.1456
85,OD3442,Snacks,Noodles,03-03-2022,2996,0.11,1114.64
86,OD5527,Bakery,Cakes,03-03-2022,2441,0.27,889.12
87,OD6222,Snacks,Cookies,03-03-2022,2354,0.22,272.78208
88,OD4086,"Eggs, Meat & Fish",Eggs,03-03-2022,295,0.23,261.312
89,OD1421,Beverages,Soft Drinks,03-03-2022,1234,0.32,240.19200000000004
90,OD1928,Food Grains,Atta & Flour,03-03-2022,687,0.18,178.62
91,OD5150,"Eggs, Meat & Fish",Fish,03-03-2022,50,0.35,91.392
92,OD420,Beverages,Health Drinks,03-04-2022,1207,0.32,127.8288
93,OD421,"Eggs, Meat & Fish",Fish,03-04-2022,72,0.24,156.30336
94,OD3320,Bakery,Breads & Buns,03-04-2022,1441,0.14,465.03936
95,OD8924,Fruits & Veggies,Organic Fruits,03-04-2022,2216,0.13,642.64
96,OD8478,Food Grains,Dals & Pulses,03-04-2022,502,0.34,50.2
97,OD8921,"Eggs, Meat & Fish",Eggs,03-04-2022,50,0.15,200.3456
98,OD7968,"Eggs, Meat & Fish",Eggs,03-05-2022,50,0.24,57.6768
99,OD2414,Food Grains,Dals & Pulses,03-05-2022,1641,0.24,361.02
100,OD6524,Snacks,Chocolates,03-05-2022,1669,0.34,406.39104
101,OD6521,Bakery,Cakes,03-05-2022,2391,0.28,801.48
102,OD2419,Food Grains,Atta & Flour,03-05-2022,2435,0.27,365.25
103,OD2416,Food Grains,Rice,03-05-2022,2306,0.34,1037.7
104,OD2411,Food Grains,Organic Staples,03-05-2022,1621,0.23,697.03
105,OD2415,Snacks,Noodles,03-05-2022,1237,0.18,352.23552
106,OD6526,Bakery,Cakes,03-05-2022,3000,0.23,373.24799999999993
107,OD3312,Oil & Masala,Spices,03-06-2022,335,0.12,16.75
108,OD3388,Fruits & Veggies,Organic Fruits,03-06-2022,1840,0.17,478.4
109,OD2711,Fruits & Veggies,Organic Fruits,03-06-2022,1892,0.24,340.56
110,OD1265,Bakery,Cakes,03-06-2022,1367,0.31,384.35904
111,OD6801,Snacks,Cookies,03-06-2022,1306,0.31,475.7875199999999
112,OD9566,"Eggs, Meat & Fish",Chicken,03-06-2022,50,0.23,103.1424
113,OD9612,Food Grains,Dals & Pulses,03-06-2022,799,0.1,279.65
114,OD9969,Snacks,Noodles,03-06-2022,2581,0.23,914.11
115,OD9599,Oil & Masala,Masalas,03-06-2022,232,0.22,11.6
116,OD9673,Beverages,Soft Drinks,03-06-2022,1806,0.27,606.1600000000001
117,OD3940,Beverages,Soft Drinks,03-07-2022,2458,0.19,1105.52
118,OD3681,Beverages,Soft Drinks,03-07-2022,2011,0.31,487.1664
119,OD9871,"Eggs, Meat & Fish",Mutton,03-07-2022,50,0.31,31.54944
120,OD4727,Bakery,Breads & Buns,03-08-2022,2879,0.31,892.54
121,OD4307,Fruits & Veggies,Organic Vegetables,03-08-2022,1320,0.21,92.4
122,OD361,Snacks,Noodles,03-08-2022,1162,0.13,97.1136
123,OD360,Fruits & Veggies,Organic Vegetables,03-08-2022,2297,0.13,528.31
124,OD8282,Beverages,Soft Drinks,03-09-2022,921,0.24,262.584
125,OD4729,Beverages,Soft Drinks,03-09-2022,2838,0.11,526.608
126,OD5543,Oil & Masala,Masalas,03-09-2022,1027,0.3,51.35
127,OD5377,Food Grains,Atta & Flour,03-10-2022,775,0.2,124.0
128,OD7496,Fruits & Veggies,Fresh Fruits,03-10-2022,1517,0.35,379.25
129,OD9305,Beverages,Health Drinks,03-10-2022,2625,0.13,711.75
130,OD8598,Beverages,Health Drinks,03-10-2022,1649,0.31,323.7408
131,OD7573,"Eggs, Meat & Fish",Mutton,03-10-2022,933,0.16,290.93120000000005
132,OD1495,Bakery,Cakes,03-10-2022,2852,0.25,1155.76
133,OD9904,Food Grains,Organic Staples,03-10-2022,942,0.15,329.7
134,OD8045,Bakery,Biscuits,03-10-2022,1206,0.33,335.09376
135,OD8596,Bakery,Breads & Buns,03-10-2022,1197,0.13,299.16864
136,OD8570,Food Grains,Rice,03-11-2022,1560,0.19,421.2
137,OD9365,Food Grains,Organic Staples,03-11-2022,1023,0.33,337.59
138,OD8616,"Eggs, Meat & Fish",Eggs,03-11-2022,50,0.19,190.6176
139,OD3212,Beverages,Soft Drinks,03-11-2022,2473,0.17,863.36
140,OD9303,Food Grains,Dals & Pulses,03-11-2022,603,0.24,66.33
141,OD9907,Snacks,Noodles,03-11-2022,2687,0.13,540.9504000000001
142,OD9876,"Eggs, Meat & Fish",Chicken,03-11-2022,593,0.13,128.52224
143,OD4125,Bakery,Biscuits,03-12-2022,2631,0.3,280.76544
144,OD7676,Fruits & Veggies,Organic Vegetables,03-12-2022,1961,0.13,196.1
145,OD8182,Oil & Masala,Masalas,03-12-2022,952,0.25,47.6
